,pt1,pt2,dist,time,bat
0,"(42.393167, -71.064352)","(40.718037, -73.932309)",340162.0,16527.0,1577455006.234973
1,"(42.393167, -71.064352)","(41.527246, -72.064419)",159539.0,7528.0,753447204.2951305
2,"(42.393167, -71.064352)","(42.439859, -71.257005)",20824.0,1395.0,101816664.7201396
3,"(42.393167, -71.064352)","(44.461715, -73.215217)",345032.0,15362.0,1674978658.5737457
4,"(42.393167, -71.064352)","(39.417088, -74.538731)",535266.0,24756.0,2540197452.8101745
5,"(42.393167, -71.064352)","(39.410942, -74.53063)",535274.0,24775.0,2537293407.612735
6,"(42.393167, -71.064352)","(39.914001, -75.108896)",489706.0,22896.0,2309145980.6622562
7,"(42.393167, -71.064352)","(42.748652, -71.49884)",64158.0,3645.0,290111244.4821288
8,"(42.393167, -71.064352)","(39.697476, -75.112075)",510987.0,23720.0,2429146607.9356728
9,"(42.393167, -71.064352)","(41.741747, -72.659203)",163481.0,7676.0,769199251.7303188
10,"(42.393167, -71.064352)","(39.411625, -75.03746)",534805.0,24948.0,2524770860.740527
11,"(42.393167, -71.064352)","(41.258249, -70.063098)",171155.0,14913.0,655524484.8224581
12,"(42.393167, -71.064352)","(39.811305, -74.96135)",491514.0,22972.0,2329322949.4884562
13,"(42.393167, -71.064352)","(40.122009, -74.856644)",461797.0,21529.0,2185667435.7973766
14,"(42.393167, -71.064352)","(41.662033, -70.949338)",94885.0,4590.0,447571534.2492205
15,"(42.393167, -71.064352)","(43.174856, -71.485967)",108396.0,5157.0,534155641.13541496
16,"(42.393167, -71.064352)","(42.102397, -75.839707)",486968.0,21963.0,2423410706.151542
17,"(42.393167, -71.064352)","(40.860729, -75.27151)",463779.0,21968.0,2250241043.193572
18,"(42.393167, -71.064352)","(40.191991, -74.794534)",445568.0,21340.0,2081695854.1618493
19,"(42.393167, -71.064352)","(40.387923, -74.085991)",414893.0,19631.0,1952571755.3525925
20,"(42.393167, -71.064352)","(40.247319, -74.24322)",421058.0,19849.0,1991404424.058347
21,"(42.393167, -71.064352)","(39.989815, -74.258336)",465790.0,21861.0,2198462537.1549277
22,"(42.393167, -71.064352)","(41.554634, -72.107836)",158082.0,7290.0,765411728.7773304
23,"(42.393167, -71.064352)","(41.3634, -75.730103)",478336.0,21706.0,2358676515.997768
24,"(42.393167, -71.064352)","(41.294864, -72.899122)",221463.0,10315.0,1048205972.1736907
25,"(42.393167, -71.064352)","(44.590314, -69.289139)",317974.0,14568.0,1538336810.0133395
26,"(42.393167, -71.064352)","(39.660766, -75.693486)",548808.0,25311.0,2609368387.2681613
27,"(42.393167, -71.064352)","(41.315531, -75.753889)",482528.0,21726.0,2409800490.5055175
28,"(42.393167, -71.064352)","(43.062221, -73.822235)",322335.0,14929.0,1554907320.6388674
29,"(42.393167, -71.064352)","(40.744271, -75.218923)",462827.0,22070.0,2194487380.6076393
30,"(42.393167, -71.064352)","(39.821725, -75.240765)",504436.0,23352.0,2395910419.942421
31,"(42.393167, -71.064352)","(42.251305, -71.805502)",73650.0,3751.0,381261167.4803597
