Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
CNG,Clean Energy - Everett - National Grid,16 Rover St,"Rt 16, exit to Rt 99, to Dexter St to Rover. Or Rt 99 to Robin St, to Rover St",Everett,MA,02149,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,42.393167,-71.064352,2023-12-13,84,2024-01-31 22:07:01 UTC,T,,,1996-11-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,1,,425,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,false,,HD,
CNG,Clean Energy - Greenpoint - National Grid,287 Maspeth Ave,"I-278/Brooklyn Queens Expy, exit onto Vandervoort Ave S, left onto Maspeth Ave, and the station is on the left",Brooklyn,NY,11211,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.718037,-73.932309,2023-09-14,108,2024-01-31 22:07:01 UTC,T,,,2016-07-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,NONE,1200,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,true,,HD,
CNG,Clean Energy - City of Santa Fe - Santa Fe Trails Transit,2931 Rufina St,,Santa Fe,NM,87507,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy D FleetOne FuelMan M Proprietor V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-8,35.65758,-105.993406,2023-09-14,360,2024-01-31 22:07:01 UTC,LG,,,2001-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,FLEET_GARAGE,1,NONE,300,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,true,,HD,
CNG,Kansas Gas Service,11401 W 89th St,"Station located in Service Center driveway, back-in required to access dispenser",Overland Park,KS,66214,,844-713-7988,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,38.966292,-94.715917,2023-10-12,372,2024-01-31 22:07:01 UTC,T,,,1996-12-03,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,1,,,52000,,,,,,,,Q,3600,HD,,,false,,,,,,false,,HD,
CNG,Kansas Gas Service,200 E 1st Ave,,Topeka,KS,66603,,844-713-7988,E,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,39.058754,-95.667854,2023-10-12,434,2024-01-31 22:07:01 UTC,T,,,1996-11-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,2,,,30000,,,,,,,,Q,3600,HD,,,false,,,,,,false,,HD,
CNG,Clean Energy - Downtown Dallas,801 S Riverfront Blvd,Located on south end of Fuel City property.,Dallas,TX,75207,,866-278-3674,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,32.76662,-96.807086,2023-09-14,456,2024-01-31 22:07:01 UTC,P,,,1996-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,GAS_STATION,1,NONE,615,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,
CNG,Clean Energy - Garland Independent School District,3526 Security St,"I-635, north on Jupiter Rd, and right on Security St",Garland,TX,75042,,866-809-4869,E,,Public - Credit card at all times,24 hours daily; call 866-809-4869 for Clean Energy card,A CleanEnergy Comdata D FleetOne FuelMan M V Voyager Wright_Exp,,Q,3000 3600,,,,,,,200-9,32.89683,-96.68401,2023-09-14,477,2024-01-31 22:07:01 UTC,P,,,1996-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SCHOOL,2,NONE,100,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,true,,HD,
CNG,Questar Gas - Salt Lake City,1150 W 200 S,200 S,Salt Lake City,UT,84104,,800-323-5517,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3000 3600,,,,,,,200-8,40.764976,-111.922291,2023-04-06,528,2024-01-31 22:07:01 UTC,T,,,1996-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,3,NONE,700,,,,,,,,,Q,3000 3600,HD,,,false,,,,,,true,,HD,
CNG,Questar Gas - LW's Conoco,1050 W 200 N,"Main St in Logan, west on 2nd N, and 10 blocks west",Logan,UT,84321,,435-753-7461,E,,Public - Credit card at all times,24 hours daily,GasCard M V Wright_Exp,,Q,3600,,,,,,,200-9,41.734633,-111.861488,2023-04-06,548,2024-01-31 22:07:01 UTC,P,,,1996-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,1,NONE,25,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,
CNG,Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Exit 241/ US-6,Price,UT,84501,,435-637-4002,E,,Public - Credit card at all times,24 hours daily,Comdata D GasCard M Proprietor V Wright_Exp,,Q,3600,,,,,,,200-9,39.586805,-110.813433,2023-04-06,558,2024-01-31 22:07:01 UTC,P,,,1996-12-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CONVENIENCE_STORE,1,NONE,150,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD,
