Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,800-256-6219,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,8/10/2023,6405,2024-01-31 22:07:01 UTC,P,,,12/11/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,TRUE,,,,,,,,MD,FALSE
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,33.94756,-118.153806,1/10/2022,7250,2022-02-10 19:42:29 UTC,T,,,6/15/1998,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,California State University - Channel Islands,1 University Dr,Located in lot A3,Camarillo,CA,93012,,805-437-8400,E,,Public,24 hours daily; parking pass required or day pass available for purchase,,,,,,5,,,Non-Networked,,GPS,34.16657602,-119.0458547,5/9/2024,21559,2024-05-09 20:32:20 UTC,P,,,5/30/2002,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free; $6 for parking day pass for non-permit holders,,,,,,,,,,TRUE,,,,,,,,MD,FALSE
ELEC,Home Depot,1551 Froom Ranch Way,,San Luis Obispo,CA,93405,,805-596-0857,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,35.249929,-120.689683,5/3/2023,35560,2024-01-31 22:07:01 UTC,P,,,4/15/2000,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Baker Electric Building,7100 Euclid Ave,Euclid Avenue and E 71st St,Cleveland,OH,44103,,216-407-7580,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,41.503373,-81.639054,7/12/2022,37097,2023-02-14 15:54:11 UTC,P,,,12/15/2010,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Town of Dyer - Town Hall,1 Town Square,Route 30/ Hart Street,Dyer,IN,46311,,219-865-6108,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,41.492057,-87.522819,1/10/2023,38774,2023-02-14 15:54:11 UTC,LG,,,10/15/2010,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Raleigh - Municipal Building,285 W Hargett St,Street pay parking at the curb,Raleigh,NC,27601,,919-996-3030,E,,Public,24 hours daily; metered parking,,,,,,2,,,Non-Networked,,200-8,35.778416,-78.64347,1/10/2023,39016,2023-02-14 15:54:11 UTC,LG,,,10/15/2010,,,,,J1772,US,,,,Public,,public,,,STREET_PARKING,,,,,,,Free; metered parking,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Ferman Nissan - North Tampa,11001 N Florida Ave,,Tampa,FL,33612,,813-933-6641,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,28.04892,-82.45832,2/12/2024,39979,2024-02-12 15:25:05 UTC,P,,,3/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,South Carolina Technology and Aviation Center,2 Exchange St,,Greenville,SC,29605,,864-277-3152,E,,Public - Credit card at all times,24 hours daily,,,,,,1,,,Non-Networked,,200-9,34.756982,-82.383799,9/14/2022,40522,2023-02-14 15:54:11 UTC,P,,,7/15/2011,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,RESEARCH_FACILITY,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Auburn Hills - Log Cabin Streetside Parking,3388 Auburn Rd,Just west of/at intersection of Auburn Road  and N Squirrel Road; single unit in front of log cabin along Auburn Road southern roadside.,Auburn Hills,MI,48326,,313-235-7700,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,42.6336,-83.220931,6/12/2023,40596,2024-03-07 18:17:06 UTC,T,,,9/28/2011,,,,,J1772,US,,,,Public,,public,,,STREET_PARKING,,,,,,,$1 per hour,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Richmond Ford Lincoln,4600 W Broad St,,Richmond,VA,23230,,804-358-5521,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-9,37.578775,-77.489409,11/9/2023,40701,2024-01-31 22:07:01 UTC,P,,,8/15/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Wilkerson Nature Preserve Park,11408 Raven Ridge Rd,,Raleigh,NC,27614,,919-996-3030,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,35.92353,-78.599883,1/10/2023,41553,2023-02-14 15:54:11 UTC,LG,,,5/25/2011,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,HD,FALSE
ELEC,City of Raleigh - Walnut Creek Wetland Center,950 Peterson St,,Raleigh,NC,27610,,919-996-3030,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,35.760503,-78.625345,1/10/2023,42398,2023-02-14 15:54:11 UTC,LG,,,11/14/2011,,,,,J1772,US,,,,Public,,public,,,PARK,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,HD,FALSE
ELEC,City of Raleigh - Optimist Park and Community Center,5910 Whittier Dr,,Raleigh,NC,27609,,919-996-3030,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,35.862603,-78.643641,1/10/2023,42399,2023-02-14 15:54:11 UTC,LG,,,11/14/2011,,,,,J1772,US,,,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free; requires GreenLots app,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Alexander's Storage,101 W 8th St,Located behind the building,Columbia,TN,38401,,931-381-0954,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,35.61323,-87.034614,9/14/2023,42872,2024-01-31 22:07:01 UTC,P,,,12/31/2011,,,,,J1772,US,,,,Public,,public,,,STORAGE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Taylor Automotive,1007 Hawkins Ave,Located on the right of the building,Sanford,NC,27330,,919-774-4037,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,35.49416,-79.180591,12/9/2021,43363,2022-02-10 19:42:29 UTC,P,,,2/3/2012,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Asheville Chamber of Commerce & Visitors Center,36 Montford Ave,,Asheville,NC,28801,,828-258-6101  828-258-6129,E,,Public,9am-5pm daily,,,,,,2,,,Non-Networked,,GPS,35.597527,-82.560582,1/9/2024,44376,2024-01-31 22:07:01 UTC,T,,,2/29/2012,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Charleston - Gaillard Auditorium,32 Alexander St,,Charleston,SC,29401,,843-724-5212,E,,Public - Credit card at all times,Garage business hours; pay lot,,,,,,4,,,Non-Networked,,200-8,32.787311,-79.930037,9/14/2022,45770,2023-02-14 15:54:11 UTC,LG,,,5/1/2017,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PAY_GARAGE,,,,,,,$1 per half hour parking fee; maximum payment of $16,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Charleston - Queen Street Garage,93 Queen St,,Charleston,SC,29401,,843-805-3232,E,,Public - Credit card at all times,Garage business hours; pay lot,,,,,,2,,,Non-Networked,,200-9,32.777245,-79.933619,9/14/2022,45771,2023-02-14 15:54:11 UTC,LG,,,2/1/2012,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PAY_GARAGE,,,,,,,"$1 per half hour parking fee, Maximum payment of $16",,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,City of Charleston - Visitor Center Garage,63 Mary St,,Charleston,SC,29403,,843-805-3232,E,,Public - Credit card at all times,Garage business hours; pay lot,,,,,,2,,,Non-Networked,,GPS,32.790806,-79.938,9/14/2022,45772,2023-02-14 15:54:11 UTC,LG,,,2/1/2012,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PAY_GARAGE,,,,,,,"$1 per half hour parking fee, Maximum payment of $16",,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Tri-City Electric,6225 N Brady St,,Davenport,IA,52806,,855-443-3873,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,41.5829247,-90.5713513,3/7/2022,46790,2023-02-14 15:54:11 UTC,T,,,6/2/2011,,,,,J1772,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Oakes Mitsubishi,7301 State Ave,,Kansas City,KS,66112,,877-481-1738,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,39.116404,-94.746998,1/10/2023,46848,2023-02-14 15:54:11 UTC,P,,,8/15/2018,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Orange County - Robert and Pearl Seymour Center,2551 Homestead Rd,,Chapel Hill,NC,27516,,919-245-2625,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,35.950629,-79.063354,12/13/2023,47332,2024-01-31 22:07:01 UTC,LG,,,5/25/2012,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,HD,FALSE
ELEC,Nantucket Airport,14 Airport Rd,3 plugs located next door near the gas station,Nantucket,MA,2554,,508-325-5300,E,,Public,8am-5pm M-F,,,,,,3,,,Non-Networked,,200-9,41.258249,-70.063098,11/9/2023,47473,2024-01-31 22:07:01 UTC,T,,,9/28/2021,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,HD,FALSE
ELEC,Mayfair Town Center,900 Town Center Dr,Parking lot behind Pottery Barn,Wilmington,NC,28405,,910-256-5131,T,12/27/2022,TEMPORARILY UNAVAILABLE (Public),Shopping center hours,,,,,,2,,,Non-Networked,,200-9,34.242673,-77.83313,1/10/2022,47720,2022-02-10 19:42:29 UTC,T,,,4/12/2012,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Target,12076 Los Osos Valley Rd,,San Luis Obispo,CA,93401,,805-858-9902,E,,Public,8am-11pm daily,,,,,,6,,,Non-Networked,,GPS,35.25211177,-120.6859747,5/3/2023,48368,2024-01-31 22:07:01 UTC,P,,,6/30/2012,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,HD,FALSE
ELEC,South Carolina Electric Co-op,808 Knox Abbott Dr,,Cayce,SC,29033,,803-796-6060,E,,Public - Credit card at all times,24 hours daily,,,,,,1,,,Non-Networked,,200-9,33.982717,-81.062436,9/14/2022,48631,2023-02-14 15:54:11 UTC,LG,,,5/30/2012,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,COOP,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,MD,FALSE
ELEC,Ocean Lakes Family Campground,6001 S Kings Hwy,Located at the intersection of Highway 544 & Bus 17,Myrtle Beach,SC,29575,,843-238-5636,E,,Public - Credit card at all times,8am-6pm daily; must obtain visitor pass from the main office; Drivers must bring their own J1772 cordset for Level 1 charging,Cash Checks D M V,,,,1,1,,,Non-Networked,,200-9,33.631596,-78.958897,9/14/2022,48640,2023-02-14 15:54:11 UTC,P,,,7/21/2011,,,,,J1772 NEMA1450,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,CAMPGROUND,,,,,,,$10 per session,,,,,,,,,,TRUE,,,,,,,,MD,FALSE
ELEC,Michaud Mitsubishi,80 Andover St,,Danvers,MA,1923,,978-774-4040,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,42.55235,-70.962101,10/12/2021,48856,2023-02-15 22:45:41 UTC,P,,,7/31/2012,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,MD,FALSE
