,lat,lng,total_chargers_at_stat,snap_to,dist_snap,type,n_chargers,kw,index
2905,32.7658795,-96.8754612,1,"(32.76062, -96.89269)",2539.0,9,1,16.0,2905
7168,33.0390751,-117.2841996,2,"(33.02008, -117.28097)",2550.0,2,2,7.0,7168
1632,33.3021433,-111.9552863,2,"(33.30006, -111.96835)",1654.0,2,2,7.0,1632
1302,33.3874378,-110.7609849,1,"(33.39639, -110.76888)",2707.0,9,1,16.0,1302
4473,33.7885884,-118.2150827,2,"(33.7822, -118.2108)",1195.0,2,2,7.0,4473
7868,33.8310496,-116.5452277,1,"(33.83835, -116.54484)",898.0,9,1,13.0,7868
1127,33.8722233,-118.2654222,1,"(33.86032, -118.2766)",2385.0,2,1,5.0,1127
1869,33.9541734,-117.5556971,1,"(33.928312, -117.558425)",3248.0,9,1,16.0,1869
7550,33.6699802,-96.6120405,2,"(33.94423, -96.41932)",47327.0,2,2,7.0,7550
6650,33.9542894,-84.5484078,2,"(33.98079, -84.52217)",4671.0,2,2,7.0,6650
562,34.12755,-118.443664,1,"(34.12744, -118.44347)",20.0,9,1,16.0,562
4119,34.4425082,-119.7812613,2,"(34.56089, -120.14103)",50056.0,2,2,7.0,4119
7993,34.4349097,-119.9212861,1,"(34.61812, -120.18705)",51697.0,9,1,6.0,7993
7477,34.9367356,-80.965712,1,"(34.70653, -80.88195)",49521.0,9,1,16.0,7477
4246,34.866382,-84.3254539,1,"(34.8753, -83.96176)",41322.0,9,1,16.0,4246
7860,34.8449803,-82.4078479,1,"(34.95504354495406, -82.4413218108368)",15102.0,2,1,6.0,7860
6588,35.3002628,-119.0381956,2,"(35.210277, -118.832618)",28835.0,2,2,7.0,6588
833,35.9874334,-119.961999,40,"(35.25211177248671, -120.6859746944428)",162247.0,9,40,150.0,833
6880,35.4833284,-83.3164985,1,"(35.42781, -83.44499)",18963.0,9,1,8.0,6880
6062,35.7749847,-78.642612,2,"(35.760503, -78.625345)",3089.0,2,2,7.0,6062
8044,35.888056,-78.567548,1,"(35.92353, -78.599883)",6588.0,5,1,29.0,8044
2422,35.9506976,-79.0633804,2,"(35.950629, -79.063354)",0.0,2,2,7.0,2422
6824,36.009923,-114.784826,1,"(35.97851, -114.83517)",7149.0,9,1,16.0,6824
1666,36.077033,-79.959879,1,"(36.08421, -80.06405)",12573.0,9,1,16.0,1666
6044,36.7687812,-76.2398644,2,"(36.77966, -76.23317)",1943.0,2,2,7.0,6044
