id,Heuristic obj. value,Optimal value,Network size (heuristic),Network size (exact),# iterations (heuristic),# iterations (exact)
e37eae83,0.0,,"(720, 4374)",,1,
0144ff91,20.0,,"(772, 5825)",,2,
fa566bc2,20.0,20.0,"(878, 6754)","(3322, 36621)",2,4.0
644db51e,23.0,23.0,"(1217, 14105)","(2855, 44194)",7,18.0
f6c8416c,30.0,30.0,"(921, 8660)","(3322, 44064)",2,2.0
190689be,30.0,30.0,"(730, 8378)","(1112, 11181)",2,3.0
2f996dca,30.0,30.0,"(1060, 10906)","(3338, 39742)",2,2.0
337b6211,30.0,,"(757, 5369)",,2,
1edc09c6,39.0,,"(9137, 239548)",,30,
56cc584b,40.0,40.0,"(779, 4861)","(3376, 35190)",4,5.0
7f9fd6fb,45.0,45.0,"(8412, 189096)","(12775, 289596)",30,60.0
363f9f83,49.0,49.0,"(4445, 85539)","(6796, 136687)",30,60.0
3c81f3ec,63.0,65.0,"(3811, 73740)","(5925, 119133)",30,60.0
b19d6863,82.5,83.0,"(2436, 25975)","(6922, 95163)",30,60.0
c3410110,88.0,88.0,"(3967, 85577)","(5790, 127034)",30,60.0
a6932bb4,106.33333333333334,,"(1200, 12172)",,14,
c1fa89f5,128.75,126.5714285714286,"(517, 2935)","(1474, 11962)",15,28.0
fc553e02,128.75,126.57142857142858,"(830, 5151)","(4024, 45412)",15,34.0
4b4daa4d,128.75,,"(766, 4567)",,13,
18c2cf34,130.0,122.0,"(1389, 14061)","(4273, 64584)",26,47.0
f2866a4c,183.19855208689643,,"(944, 7234)",,13,
8b922d7b,193.00000000000003,,"(873, 5479)",,17,
3365ae5d,341.88888888888897,,"(1271, 12083)",,30,
a78c9b9b,346.6923076923077,,"(1233, 8536)",,30,
1a3dd141,453.0,,"(1192, 10515)",,30,
85c9d7d7,453.0,,"(1192, 10515)",,30,
af6f9ae0,511.7297297297296,245.0,"(992, 6330)","(4328, 45161)",30,60.0
b74cc214,527.6703703703703,310.9924528301886,"(1172, 9215)","(3810, 43863)",30,60.0
94e91dd3,747.7798512902755,,"(1065, 6780)",,28,
8ffc9133,757.329755515802,429.0,"(1211, 8369)","(4344, 46839)",30,60.0
