id,Heuristic obj. value,Optimal value,Network size (heuristic),Network size (exact),# iterations (heuristic),# iterations (exact)
0144ff91,20.0,,"(772, 5825)",,2,
190689be,30.0,30.0,"(730, 8378)","(1112, 11181)",2,3.0
2f996dca,30.0,30.0,"(1060, 10906)","(3338, 39742)",2,2.0
337b6211,30.0,,"(757, 5369)",,2,
f6c8416c,30.0,30.0,"(921, 8660)","(3322, 44064)",2,2.0
56cc584b,40.0,40.0,"(779, 4861)","(3376, 35190)",4,5.0
a6932bb4,106.33333333333334,,"(1200, 12172)",,14,
4b4daa4d,128.75,,"(766, 4567)",,13,
c1fa89f5,128.75,126.5714285714286,"(517, 2935)","(1474, 11962)",15,28.0
fc553e02,128.75,126.57142857142858,"(830, 5151)","(4024, 45412)",15,34.0
18c2cf34,130.0,122.0,"(1389, 14061)","(4273, 64584)",26,47.0
f2866a4c,183.19855208689643,,"(944, 7234)",,13,
8b922d7b,193.00000000000003,,"(873, 5479)",,17,
94e91dd3,747.7798512902755,,"(1065, 6780)",,28,
